Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Main Controller","ESP32-WROOM-32 Development Board","Main microcontroller for arm control and servo PWM generation.","electrical","mcu",1,10.99,10.99,"https://www.amazon.com/s?k=ESP32+development+board"
"5V Buck Converter","LM2596 DC-DC Buck Converter Module","Steps down input voltage to stable 5V for servos and MCU.","electrical","power",1,3.50,3.50,"https://www.amazon.com/s?k=LM2596+buck+converter"
"Base Rotation Servo","SG90 Micro Servo Motor","Servo for controlling the arm's base rotation.","electrical","actuator",1,4.00,4.00,"https://www.amazon.com/s?k=SG90+micro+servo"
"Shoulder Joint Servo","SG90 Micro Servo Motor","Servo for controlling the shoulder joint's articulation.","electrical","actuator",1,4.00,4.00,"https://www.amazon.com/s?k=SG90+micro+servo"
"Elbow Joint Servo","SG90 Micro Servo Motor","Servo for controlling the elbow joint's articulation.","electrical","actuator",1,4.00,4.00,"https://www.amazon.com/s?k=SG90+micro+servo"
"Wrist Joint Servo","SG90 Micro Servo Motor","Servo for controlling the wrist joint's articulation.","electrical","actuator",1,4.00,4.00,"https://www.amazon.com/s?k=SG90+micro+servo"
"Gripper Servo","SG90 Micro Servo Motor","Servo for opening and closing the end-effector gripper.","electrical","actuator",1,4.00,4.00,"https://www.amazon.com/s?k=SG90+micro+servo"
"Robot Arm Base Plate","","Base plate for the robot arm, providing a stable foundation.","mechanical","structural",1,5.00,5.00,"https://www.amazon.com/s?k=acrylic+sheet+100x80x3mm"
"M3 Screws","M3x8mm Phillips Head Screws","","mechanical","misc",20,0.05,1.00,"https://www.amazon.com/s?k=m3x8mm+screws"
"M3 Nuts","M3 Hex Nuts","","mechanical","misc",20,0.03,0.60,"https://www.amazon.com/s?k=m3+nuts"
"M3 Standoffs","M3x10mm Brass Hex Standoffs","","mechanical","misc",4,0.10,0.40,"https://www.amazon.com/s?k=m3x10mm+brass+standoffs"
"Lower Arm Link","","First link of the robot arm, connects to the base servo.","mechanical","3d_printed",1,0.50,0.50,"N/A"
"Upper Arm Link","","Second link of the robot arm, connects two servos.","mechanical","3d_printed",1,0.40,0.40,"N/A"
"Wrist Link","","Final link before the end effector.","mechanical","3d_printed",1,0.30,0.30,"N/A"
"Base Servo Mount","","Mount for the base servo to attach to the base plate.","mechanical","3d_printed",1,0.25,0.25,"N/A"
"Link Servo Mount","","Mount for attaching a servo to an arm link.","mechanical","3d_printed",2,0.20,0.40,"N/A"
"Gripper End Effector","","Simple two-finger gripper for light object manipulation.","mechanical","3d_printed",1,0.75,0.75,"N/A"
"Microcontroller Mount","","Mounting bracket for the ESP32 or Arduino Nano.","mechanical","3d_printed",1,0.30,0.30,"N/A"
